"HostName";"TaskName";"Next Run Time";"Status";"Logon Mode";"Last Run Time";"Last Result";"Author";"Task To Run";"Start In";"Comment";"Scheduled Task State";"Idle Time";"Power Management";"Run As User";"Delete Task If Not Rescheduled";"Stop Task If Runs X Hours and X Mins";"Schedule";"Schedule Type";"Start Time";"Start Date";"End Date";"Days";"Months";"Repeat: Every";"Repeat: Until: Time";"Repeat: Until: Duration";"Repeat: Stop If Still Running"
"DC07";"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"N/A";"COM handler";"N/A";"N/A";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"N/A";"COM handler";"N/A";"N/A";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"N/A";"COM handler";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"At idle time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"N/A";"COM handler";"N/A";"N/A";"Disabled";"Disabled";"";"SYSTEM";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"At idle time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.";"Disabled";"Disabled";"";"Everyone";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"Daily ";"03:00:00";"9-11-2006";"N/A";"Every 1 day(s)";"N/A";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.";"Disabled";"Disabled";"";"Everyone";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)";"N/A";"Ready";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"Everyone";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\AppID\PolicyConverter";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"%windir%\system32\appidpolicyconverter.exe ";"N/A";"Converts the software restriction policies policy from XML into binary format.";"Disabled";"Disabled";"";"LOCAL SERVICE";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\AppID\SmartScreenSpecific";"N/A";"Ready";"Interactive/Background";"23-4-2014 08:30:39";"0";"Microsoft Corporation";"COM handler";"N/A";"Task that collects data for SmartScreen in Windows";"Enabled";"Only Start If Idle for 0 minutes, If Not Idle Retry For 60 minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"INTERACTIVE";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"%windir%\system32\appidcertstorecheck.exe ";"N/A";"Inspects the AppID certificate cache for invalid or revoked certificates.";"Disabled";"Only Start If Idle for 3 minutes, If Not Idle Retry For 1380 minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"LOCAL SERVICE";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Application Experience\AitAgent";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"Microsoft Corporation";"aitagent /increment";"N/A";"Aggregates and uploads Application Telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Application Experience\ProgramDataUpdater";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"Microsoft Corporation";"%windir%\system32\rundll32.exe aepdu.dll,AePduRunUpdate";"N/A";"Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\ApplicationData\CleanupTemporaryState";"N/A";"Ready";"Interactive/Background";"26-4-2014 02:33:36";"0";"Microsoft Corporation";"%windir%\system32\rundll32.exe Windows.Storage.ApplicationData.dll,CleanupTemporaryState";"N/A";"Cleans up each package's unused temporary files.";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"N/A";"%windir%\system32\rundll32.exe %windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask";"N/A";"N/A";"Disabled";"Only Start If Idle for 15 minutes, If Not Idle Retry For 15 minutes";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Autochk\Proxy";"N/A";"Ready";"Interactive/Background";"26-4-2014 02:53:35";"0";"Microsoft Corporation";"%windir%\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations";"N/A";"This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program.";"Enabled";"Only Start If Idle for 10 minutes, If Not Idle Retry For 525600 minutes";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\SystemTask";"N/A";"Ready";"Interactive/Background";"29-4-2014 02:23:55";"0";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Enabled";"Disabled";"Stop On Battery Mode";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\SystemTask";"N/A";"Ready";"Interactive/Background";"29-4-2014 02:23:55";"0";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Enabled";"Disabled";"Stop On Battery Mode";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\SystemTask";"N/A";"Ready";"Interactive/Background";"29-4-2014 02:23:55";"0";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Enabled";"Disabled";"Stop On Battery Mode";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\UserTask";"N/A";"Ready";"Interactive/Background";"28-4-2014 10:39:32";"0";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Enabled";"Disabled";"Stop On Battery Mode";"INTERACTIVE";"Disabled";"Disabled";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\UserTask";"N/A";"Ready";"Interactive/Background";"28-4-2014 10:39:32";"0";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Enabled";"Disabled";"Stop On Battery Mode";"INTERACTIVE";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\UserTask";"N/A";"Ready";"Interactive/Background";"28-4-2014 10:39:32";"0";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Enabled";"Disabled";"Stop On Battery Mode";"INTERACTIVE";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Disabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"INTERACTIVE";"Disabled";"Disabled";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.";"Disabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"INTERACTIVE";"Disabled";"Disabled";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Chkdsk\ProactiveScan";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"Microsoft Corporation";"COM handler";"N/A";"NTFS Volume Health Scan";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Customer Experience Improvement Program\Consolidator";"29-4-2014 17:00:00";"Ready";"Interactive/Background";"28-4-2014 22:00:00";"-2147479295";"Microsoft Corporation";"%SystemRoot%\System32\wsqmcons.exe ";"N/A";"If the user has consented to participate in the Windows Customer Experience Improvement Program, this job collects and sends usage data to Microsoft.";"Enabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"One Time Only, Hourly ";"00:00:00";"2-1-2004";"N/A";"N/A";"N/A";"19 Hour(s), 0 Minute(s)";"None";"Disabled";"Disabled"
"DC07";"\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask";"N/A";"Ready";"Interactive/Background";"29-4-2014 03:28:29";"0";"Microsoft Corporation";"COM handler";"N/A";"The Kernel CEIP (Customer Experience Improvement Program) task collects additional information about the system and sends this data to Microsoft.  If the user has not consented to participate in Windows CEIP, this task does nothing.";"Enabled";"Disabled";"No Start On Batteries";"LOCAL SERVICE";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip";"N/A";"Ready";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is ";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"Administrators";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerCeipAssistant";"29-4-2014 22:06:45";"Ready";"Interactive/Background";"28-4-2014 22:08:38";"-2147020576";"Microsoft Corporation";"%windir%\system32\ceipdata.exe -id 1";"N/A";"This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?LinkId=104606 for more information.";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"01:00:00";"Scheduling data is not available in this format.";"One Time Only, Hourly ";"22:00:13";"24-4-2014";"N/A";"N/A";"N/A";"24 Hour(s), 0 Minute(s)";"None";"Disabled";"Disabled"
"DC07";"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan";"18-5-2014 20:51:09";"Ready";"Interactive/Background";"26-4-2014 02:32:34";"0";"Microsoft Corporation";"COM handler";"N/A";"Scans fault-tolerant volumes for latent corruptions";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"Weekly";"23:00:00";"1-1-2011";"N/A";"SAT";"Every 4 week(s)";"Disabled";"Disabled";"Disabled";"Disabled"
"DC07";"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan";"21-5-2014 13:11:11";"Ready";"Interactive/Background";"26-4-2014 02:32:34";"0";"Microsoft Corporation";"COM handler";"N/A";"Scans fault-tolerant volumes for latent corruptions";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery";"N/A";"Ready";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Scans fault-tolerant volumes for fast crash recovery";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"Disabled";"Scheduling data is not available in this format.";"Undefined";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Defrag\ScheduledDefrag";"N/A";"Ready";"Interactive/Background";"27-4-2014 04:17:25";"0";"Microsoft Corporation";"%windir%\system32\defrag.exe -c -h -k -g -$";"N/A";"This task optimizes local storage drives.";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Device Setup\Metadata Refresh";"N/A";"Ready";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Performs a device metadata refresh on a periodic basis";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"INTERACTIVE";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\IME\SQM data sender";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"N/A";"COM handler";"N/A";"N/A";"Disabled";"Only Start If Idle for 0 minutes, If Not Idle Retry For 60 minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"LOCAL SERVICE";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Schedules a memory diagnostic in response to system events.";"Disabled";"Only Start If Idle for  minutes, If Not Idle Retry For  minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"Administrators";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Schedules a memory diagnostic in response to system events.";"Disabled";"Only Start If Idle for  minutes, If Not Idle Retry For  minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"Administrators";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Schedules a memory diagnostic in response to system events.";"Disabled";"Only Start If Idle for  minutes, If Not Idle Retry For  minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"Administrators";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Schedules a memory diagnostic in response to system events.";"Disabled";"Only Start If Idle for  minutes, If Not Idle Retry For  minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"Administrators";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"When an event occurs";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"Microsoft Corporation";"COM handler";"N/A";"Detects and mitigates problems in physical memory (RAM).";"Disabled";"Only Start If Idle for  minutes, If Not Idle Retry For  minutes Stop the task if Idle State end";"Stop On Battery Mode, No Start On Batteries";"Administrators";"Disabled";"02:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\MUI\LPRemove";"N/A";"Ready";"Interactive/Background";"26-4-2014 03:33:35";"0";"Microsoft Corporation";"%windir%\system32\lpremove.exe ";"N/A";"Launch language cleanup tool";"Enabled";"Disabled";"Stop On Battery Mode, No Start On Batteries";"SYSTEM";"Disabled";"09:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\Multimedia\SystemSoundsService";"N/A";"Disabled";"Interactive/Background";"N/A";"1";"N/A";"COM handler";"N/A";"System Sounds User Mode Agent";"Disabled";"Disabled";"";"Users";"Disabled";"Disabled";"Scheduling data is not available in this format.";"At logon time";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\NetCfg\BindingWorkItemQueueHandler";"N/A";"Ready";"Interactive/Background";"26-4-2014 02:23:34";"-2147024894";"Microsoft Corporation";"COM handler";"N/A";"Handles pending Network Binding Engine tasks";"Enabled";"Disabled";"";"SYSTEM";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"At system start up";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"DC07";"\Microsoft\Windows\NetTrace\GatherNetworkInfo";"N/A";"Ready";"Interactive/Background";"N/A";"1";"Microsoft";"%windir%\system32\gatherNetworkInfo.vbs ";"$(Arg1)";"Network information collector";"Enabled";"Disabled";"Stop On Battery Mode";"Users";"Disabled";"72:00:00";"Scheduling data is not available in this format.";"On demand only";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
